Booking_ID,Booking_Date,Travel_Date,Lead_Time,Category,Travel_Type,Customer_Type,City_From,City_To,Booking_Channel,Payment_Mode,Base_Price,Discount_%,Cancellation_Status,Refund_%,Rating,Repeat_Customer,Booking_Hour,Festival_Season
BKG00001,11-04-2025,24-06-2025,74,Train,International,Couple,Chennai,Dubai,App,Wallet,6741,15,0,0,3,Yes,12,Normal
BKG00002,21-08-2025,27-09-2025,37,Flight,International,Business,Chennai,Dubai,App,Debit Card,23180.4,0,1,80,2,No,1,Normal
BKG00003,28-11-2025,24-02-2026,88,Holiday Package,International,Couple,Delhi,London,App,Wallet,87926.4,0,0,0,3,Yes,4,Diwali
BKG00004,26-06-2024,12-08-2024,47,Flight,Domestic,Solo,Mumbai,Delhi,Website,NetBanking,9532,20,0,0,2,Yes,19,Normal
BKG00005,31-07-2025,03-10-2025,64,Flight,International,Business,Mumbai,Singapore,Website,Wallet,6138,10,0,0,2,No,13,Normal
BKG00006,10-12-2024,14-01-2025,35,Hotel,International,Family,Chennai,London,App,UPI,30956.4,5,0,0,1,No,12,Christmas
BKG00007,23-01-2025,15-02-2025,23,Holiday Package,Domestic,Business,Hyderabad,Mumbai,Website,Wallet,19645,10,0,0,4,No,16,Normal
BKG00008,10-04-2024,18-06-2024,69,Train,Domestic,Solo,Hyderabad,Goa,App,Credit Card,1227,15,1,80,2,Yes,4,Normal
BKG00009,08-05-2024,26-05-2024,18,Holiday Package,International,Couple,Hyderabad,Bangkok,App,Credit Card,112951.8,0,0,0,2,No,2,Normal
BKG00010,05-07-2024,03-08-2024,29,Holiday Package,International,Solo,Delhi,Dubai,Website,UPI,78190.2,20,0,0,3,No,14,Normal
BKG00011,28-10-2024,14-11-2024,17,Holiday Package,Domestic,Couple,Delhi,Mumbai,Website,Wallet,64565,10,0,0,4,No,7,Diwali
BKG00012,27-04-2024,18-05-2024,21,Holiday Package,International,Family,Chennai,London,App,UPI,57774.6,10,1,80,5,Yes,13,Christmas
BKG00013,28-05-2024,27-07-2024,60,Train,International,Couple,Chennai,Dubai,Website,Credit Card,3454.2,10,1,80,3,No,0,Normal
BKG00014,16-12-2025,19-12-2025,3,Flight,International,Solo,Delhi,Singapore,Website,UPI,16419.6,20,0,0,2,No,15,Normal
BKG00015,07-09-2025,28-11-2025,82,Hotel,International,Business,Mumbai,London,Website,Wallet,13534.2,0,0,0,4,No,7,Summer
BKG00016,01-06-2025,03-08-2025,63,Flight,Domestic,Business,Bangalore,Hyderabad,Website,NetBanking,4257,15,0,0,2,No,16,Christmas
BKG00017,10-06-2024,16-07-2024,36,Holiday Package,Domestic,Couple,Delhi,Hyderabad,App,NetBanking,25661,10,0,0,2,Yes,7,Summer
BKG00018,09-03-2024,08-04-2024,30,Flight,Domestic,Couple,Chennai,Delhi,App,Debit Card,5367,15,0,0,1,Yes,21,Normal
BKG00019,21-01-2025,03-03-2025,41,Train,International,Business,Bangalore,Bangkok,Website,NetBanking,2554.2,0,0,0,5,No,12,Normal
BKG00020,15-02-2025,15-04-2025,59,Flight,International,Family,Bangalore,Bangkok,Website,Debit Card,23031,20,0,0,4,Yes,12,Normal
BKG00021,30-09-2024,04-10-2024,4,Train,International,Family,Hyderabad,London,Website,NetBanking,3841.2,15,0,0,1,Yes,8,Normal
BKG00022,01-05-2024,26-06-2024,56,Flight,International,Solo,Hyderabad,Bangkok,Website,Wallet,18705.6,10,0,0,5,Yes,14,Normal
BKG00023,22-10-2025,11-01-2026,81,Holiday Package,Domestic,Solo,Mumbai,Delhi,Website,Debit Card,46096,20,0,0,2,No,21,Normal
BKG00024,10-12-2024,14-02-2025,66,Train,International,Couple,Mumbai,Dubai,App,NetBanking,7857,0,0,0,2,Yes,9,Normal
BKG00025,27-02-2025,28-04-2025,60,Train,Domestic,Solo,Bangalore,Mumbai,Website,Credit Card,4320,15,0,0,5,No,16,Normal
BKG00026,07-07-2024,26-08-2024,50,Holiday Package,Domestic,Solo,Hyderabad,Mumbai,App,NetBanking,78936,0,0,0,1,Yes,19,Normal
BKG00027,02-09-2025,06-11-2025,65,Flight,International,Business,Bangalore,Dubai,Website,Credit Card,19738.8,10,0,0,4,No,2,Diwali
BKG00028,11-01-2025,09-04-2025,88,Train,Domestic,Couple,Hyderabad,Delhi,Website,NetBanking,1512,0,0,0,3,Yes,0,Normal
BKG00029,13-02-2025,30-04-2025,76,Holiday Package,International,Business,Delhi,London,Website,NetBanking,39360.6,5,0,0,4,Yes,11,Normal
BKG00030,12-12-2024,07-01-2025,26,Flight,International,Business,Hyderabad,Bangkok,App,Debit Card,24465.6,5,0,0,1,Yes,8,Normal
BKG00031,03-07-2024,12-09-2024,71,Flight,Domestic,Family,Mumbai,Hyderabad,Website,UPI,3001,20,0,0,5,No,4,Normal
BKG00032,16-12-2025,10-03-2026,84,Flight,Domestic,Business,Chennai,Bangalore,Website,Wallet,7219,20,0,0,3,Yes,14,Summer
